"Номер заказа";"Номер отправления";"Дата создания заказа";"Дата отгрузки";"Статус";"Сумма отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Количество"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Зеленые человечики""";"169832594";"M1150-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Катусовое поле""";"169832609";"M1170-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Кубик Рубик""";"169834485";"M1222-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Рик Энштейн""";"169834486";"M1221-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""R2-D2""";"169834491";"M1217-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Человек паук""";"169834516";"M1247-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Супер мэн""";"169834517";"M1246-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Кубик Рубик""";"169834529";"M1261-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"626.00";"Арт носки ""Я знаю, ты хочешь меня""";"169834579";"M1291-det";"313.00";"2"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Микки маус""";"169834792";"M1073";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Носки на носках""";"169835016";"M1147";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Зеленые человечики""";"169835105";"M1149-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Арбузная зебра""";"169917457";"M1055";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Микки Маус""";"169921080";"M1059-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Носки на носках""";"169922317";"M1147-det";"313.00";"1"
"14838194-0030";"14838194-0030-1";"2020-04-08 21:04:39";"2020-04-15 10:00:00";"Отменен";"313.00";"Арт носки ""Арбузное наслаждение""";"169938530";"M1046-det";"313.00";"1"
"39167411-0010";"39167411-0010-3";"2020-04-08 18:53:21";"2020-04-11 10:00:00";"Доставлен";"339.00";"Женские дизайнерские носки с принтом Арт. ""Хочу вино""";"170771378";"434";"339.00";"1"
"30310798-0002";"30310798-0002-1";"2020-04-08 18:55:18";"2020-04-11 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"35734857-0040";"35734857-0040-2";"2020-04-08 18:14:39";"2020-04-12 10:00:00";"Отменен";"369.00";"Носки ""Семейка Симпсонов""";"169099583";"244";"369.00";"1"
"38348939-0011";"38348939-0011-6";"2020-04-08 17:33:43";"2020-04-14 10:00:00";"Отменен";"319.00";"Носки ""Пивной вечер""";"168720404";"136";"319.00";"1"
"38348939-0011";"38348939-0011-6";"2020-04-08 17:33:43";"2020-04-14 10:00:00";"Отменен";"319.00";"Носки ""Пивные""";"168914470";"175";"319.00";"1"
"38348939-0011";"38348939-0011-6";"2020-04-08 17:33:43";"2020-04-14 10:00:00";"Отменен";"678.00";"Женские дизайнерские носки с принтом Арт. ""Вино""";"170771375";"433";"339.00";"2"
"42783657-0006";"42783657-0006-3";"2020-04-08 16:51:59";"2020-04-13 10:00:00";"Отменен";"399.00";"Носки ""Семейка Симпсонов""";"169099583";"244";"399.00";"1"
"19477869-0062";"19477869-0062-3";"2020-04-08 11:46:07";"2020-04-11 10:00:00";"Доставлен";"309.00";"Носки ""Авокадо спелый""";"169387811";"389";"309.00";"1"
"08556702-0017";"08556702-0017-3";"2020-04-08 11:34:47";"2020-04-12 10:00:00";"Отменен";"449.00";"Носки ""Ушки""";"169231296";"268";"449.00";"1"
"08556702-0017";"08556702-0017-3";"2020-04-08 11:34:47";"2020-04-12 10:00:00";"Отменен";"299.00";"Носки  ""Призрак""";"169293092";"349";"299.00";"1"
"14838194-0029";"14838194-0029-4";"2020-04-08 09:20:14";"2020-04-13 10:00:00";"Отменен";"339.00";"Арт носки ""Настольный футбол""";"169834532";"M1263-det";"339.00";"1"
"40869861-0004";"40869861-0004-3";"2020-04-08 01:43:17";"2020-04-11 10:00:00";"Доставлен";"499.00";"Носки ""Конопляный набор""";"169099584";"243";"499.00";"1"
"25157384-0018";"25157384-0018-1";"2020-04-07 21:30:13";"2020-04-08 10:00:00";"Доставлен";"399.00";"Носки ""Микки""";"169099586";"241";"399.00";"1"
"14838194-0026";"14838194-0026-2";"2020-04-07 19:36:56";"2020-04-11 10:00:00";"Доставлен";"339.00";"Арт носки ""Настольный футбол""";"169831036";"M1263";"339.00";"1"
"45209028-0001";"45209028-0001-3";"2020-04-07 17:59:51";"2020-04-11 10:00:00";"Доставлен";"319.00";"Носки ""Ой все""";"169197598";"269";"319.00";"1"
"05746725-0090";"05746725-0090-4";"2020-04-07 17:08:28";"2020-04-11 10:00:00";"Доставлен";"319.00";"Женские дизайнерский носки с принтом Арт. ""Корги""";"170793209";"437";"319.00";"1"
"18266237-0002";"18266237-0002-4";"2020-04-07 16:14:44";"2020-04-11 10:00:00";"Доставлен";"319.00";"Арт носки Носороги Шреденгера";"169702629";"M1003";"319.00";"1"
"18677192-0022";"18677192-0022-2";"2020-04-07 12:03:36";"2020-04-11 10:00:00";"Доставлен";"339.00";"Арт носки ""Рик и Морти""";"169832615";"M1173-det";"339.00";"1"
"30491889-0021";"30491889-0021-3";"2020-04-07 12:01:18";"2020-04-11 10:00:00";"Доставлен";"319.00";"Носки ""Спанч Боб""";"168797009";"133";"319.00";"1"
"30491889-0021";"30491889-0021-3";"2020-04-07 12:01:18";"2020-04-11 10:00:00";"Доставлен";"319.00";"Носки ""Спанч Боб""";"168914152";"190";"319.00";"1"
"30491889-0021";"30491889-0021-3";"2020-04-07 12:01:18";"2020-04-11 10:00:00";"Доставлен";"339.00";"Арт носки ""Спанч Боб""";"169830907";"M1011-det";"339.00";"1"
"44955839-0002";"44955839-0002-3";"2020-04-07 11:48:05";"2020-04-13 10:00:00";"Отменен";"349.00";"Носки ""Дарт Вейдер""";"169197601";"265";"349.00";"1"
"43056616-0018";"43056616-0018-3";"2020-04-07 08:06:29";"2020-04-11 10:00:00";"Доставлен";"339.00";"Носки женские дизайнерские с принтом Арт. ""Нутелла""";"171425404";"439";"339.00";"1"
"03075332-0115";"03075332-0115-7";"2020-04-07 06:37:50";"2020-04-13 10:00:00";"Отменен";"299.00";"Носки ""Авокадо""";"168797020";"125";"299.00";"1"
"32127990-0007";"32127990-0007-2";"2020-04-06 19:00:17";"2020-04-10 10:00:00";"Отменен";"699.00";"Набор носков женский ""Тусовка единорожек""";"170321100";"410";"699.00";"1"
"45125595-0002";"45125595-0002-2";"2020-04-06 17:25:20";"2020-04-10 10:00:00";"Доставлен";"319.00";"Носки ""Французский бульдог""";"169038260";"235";"319.00";"1"
"03996971-0034";"03996971-0034-4";"2020-04-06 16:42:07";"2020-04-10 10:00:00";"Отменен";"329.00";"Носки ""Гомер Симпсон""";"169334737";"361";"329.00";"1"
"32190613-0016";"32190613-0016-1";"2020-04-06 16:11:27";"2020-04-10 10:00:00";"Отменен";"299.00";"Носки ""Лама-лама""";"169277337";"330";"299.00";"1"
"32292600-0022";"32292600-0022-1";"2020-04-06 15:17:38";"2020-04-10 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"14781935-0051";"14781935-0051-2";"2020-04-06 12:34:17";"2020-04-10 10:00:00";"Доставлен";"329.00";"Носки ""Густав Климт""";"169293116";"336";"329.00";"1"
"23427651-0007";"23427651-0007-4";"2020-04-06 00:37:47";"2020-04-09 10:00:00";"Доставлен";"319.00";"Носки ""Баскетбол""";"168914646";"166";"319.00";"1"
"11266182-0093";"11266182-0093-1";"2020-04-05 18:50:18";"2020-04-08 10:00:00";"Доставлен";"295.00";"Носки ""Fanta""";"168720412";"108";"295.00";"1"
"06494794-0014";"06494794-0014-2";"2020-04-05 17:30:05";"2020-04-08 10:00:00";"Доставлен";"319.00";"Носки ""Клоун Убийца""";"169038274";"210";"319.00";"1"
"39315409-0006";"39315409-0006-6";"2020-04-05 14:05:05";"2020-04-09 10:00:00";"Доставлен";"319.00";"Носки ""Фруктовый Микс""";"168914366";"179";"319.00";"1"
"18205620-0032";"18205620-0032-3";"2020-04-05 13:11:40";"2020-04-08 10:00:00";"Доставлен";"339.00";"Носки ""Пчелки заводные""";"169277330";"332";"339.00";"1"
"44629060-0003";"44629060-0003-2";"2020-04-05 12:55:15";"2020-04-08 10:00:00";"Доставлен";"559.00";"Комплект носков женский ""С единорогами""";"170321106";"408";"559.00";"1"
"31813036-0009";"31813036-0009-2";"2020-04-05 12:28:18";"2020-04-08 10:00:00";"Отменен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"31813036-0009";"31813036-0009-2";"2020-04-05 12:28:18";"2020-04-08 10:00:00";"Отменен";"299.00";"Носки ""Маленькая панда""";"169256377";"321";"299.00";"1"
"08778744-0016";"08778744-0016-3";"2020-04-05 11:57:54";"2020-04-08 10:00:00";"Доставлен";"289.00";"Носки ""Человек Паук""";"169256370";"324";"289.00";"1"
"41906675-0003";"41906675-0003-5";"2020-04-05 12:00:07";"2020-04-08 10:00:00";"Доставлен";"299.00";"Носки ""И мы счастливы""";"169099578";"246";"299.00";"1"
"33426343-0013";"33426343-0013-3";"2020-04-05 11:58:28";"2020-04-08 10:00:00";"Отменен";"319.00";"Носки ""Лиза Симпсон""";"169570222";"402";"319.00";"1"
"13360605-0011";"13360605-0011-1";"2020-04-05 10:33:39";"2020-04-08 10:00:00";"Доставлен";"319.00";"Носки ""Святая""";"169197599";"267";"319.00";"1"
"17000831-0006";"17000831-0006-4";"2020-04-05 10:13:32";"2020-04-08 10:00:00";"Отменен";"399.00";"Носки ""Женские""";"169038406";"147";"399.00";"1"
"31339629-0031";"31339629-0031-3";"2020-04-05 09:36:33";"2020-04-11 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"44788854-0005";"44788854-0005-3";"2020-04-05 08:53:46";"2020-04-08 10:00:00";"Доставлен";"678.00";"Комплект носков женский ""Конопля""";"170403825";"413";"339.00";"2"
"40553298-0004";"40553298-0004-3";"2020-04-04 20:29:25";"2020-04-07 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"13095049-0097";"13095049-0097-3";"2020-04-04 19:58:15";"2020-04-07 10:00:00";"Доставлен";"369.00";"Носки ""Женские""";"169038406";"147";"369.00";"1"
"30808072-0007";"30808072-0007-6";"2020-04-04 19:32:23";"2020-04-14 10:00:00";"Отменен";"299.00";"Арт носки ""Штурмовик""";"169834489";"M1216-det";"299.00";"1"
"13893106-0038";"13893106-0038-3";"2020-04-04 18:32:52";"2020-04-05 10:00:00";"Доставлен";"299.00";"Носки с надписью";"169197597";"282";"299.00";"1"
"35789968-0008";"35789968-0008-3";"2020-04-04 18:17:08";"2020-04-05 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"36866140-0136";"36866140-0136-3";"2020-04-04 18:08:28";"2020-04-05 10:00:00";"Доставлен";"299.00";"Арт носки ""Бард Симпсон""";"169831194";"M1285";"299.00";"1"
"11099074-0024";"11099074-0024-3";"2020-04-04 18:03:33";"2020-04-05 10:00:00";"Отменен";"329.00";"Носки ""Густав Климт""";"169293116";"336";"329.00";"1"
"03579143-0007";"03579143-0007-4";"2020-04-04 17:52:03";"2020-04-08 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"43329818-0013";"43329818-0013-4";"2020-04-04 17:34:18";"2020-04-05 10:00:00";"Доставлен";"299.00";"Носки ""Чарльз Монтгомери Симпсоны""";"169334627";"374";"299.00";"1"
"30368813-0005";"30368813-0005-2";"2020-04-04 17:15:18";"2020-04-05 10:00:00";"Доставлен";"399.00";"Носки ""Женские""";"169038406";"147";"399.00";"1"
"17133868-0028";"17133868-0028-3";"2020-04-04 15:31:33";"2020-04-05 10:00:00";"Доставлен";"339.00";"Арт носки ""Спанч Боб""";"169831415";"M1078";"339.00";"1"
"45114537-0001";"45114537-0001-1";"2020-04-04 15:11:32";"2020-04-05 10:00:00";"Доставлен";"319.00";"Носки ""Мона Лиза""";"168797033";"122";"319.00";"1"
"25267937-0003";"25267937-0003-3";"2020-04-04 14:57:48";"2020-04-05 10:00:00";"Доставлен";"339.00";"Носки женские дизайнерские с принтом Арт. ""Рик""";"171473971";"440";"339.00";"1"
"38683787-0017";"38683787-0017-5";"2020-04-04 13:28:08";"2020-04-05 10:00:00";"Доставлен";"349.00";"Носки ""Дарт Вейдер""";"169197601";"265";"349.00";"1"
"19241955-0020";"19241955-0020-1";"2020-04-04 12:37:50";"2020-04-05 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"45069394-0003";"45069394-0003-3";"2020-04-04 10:50:51";"2020-04-05 10:00:00";"Доставлен";"314.00";"Носки ""Текила-Лимон""";"168720411";"100";"314.00";"1"
"02599262-0110";"02599262-0110-2";"2020-04-04 10:47:22";"2020-04-05 10:00:00";"Доставлен";"295.00";"Носки ""Fanta""";"168720412";"108";"295.00";"1"
"29366433-0051";"29366433-0051-3";"2020-04-04 09:58:19";"2020-04-05 10:00:00";"Доставлен";"369.00";"Носки ""Семейка Симпсонов""";"169099583";"244";"369.00";"1"
"45054985-0002";"45054985-0002-1";"2020-04-04 00:41:49";"2020-04-07 10:00:00";"Отменен";"319.00";"Носки ""Авокадо""";"168797020";"125";"319.00";"1"
"40265275-0006";"40265275-0006-5";"2020-04-03 10:24:53";"2020-04-06 10:00:00";"Доставлен";"299.00";"Арт носки ""Космический путешественник""";"169831020";"M1031-det";"299.00";"1"
"36488043-0032";"36488043-0032-4";"2020-04-03 09:08:30";"2020-04-08 10:00:00";"Отменен";"295.00";"Носки ""Спанч Боб""";"168720397";"118";"295.00";"1"
"38731422-0001";"38731422-0001-4";"2020-04-03 09:05:43";"2020-04-06 10:00:00";"Доставлен";"349.00";"Носки женские с надписью ""Не Беси""";"170321111";"406";"349.00";"1"
"45054052-0001";"45054052-0001-1";"2020-04-02 20:52:55";"2020-04-06 10:00:00";"Доставлен";"319.00";"Носки ""Конопля""";"169108914";"242";"319.00";"1"
"08880549-0090";"08880549-0090-2";"2020-04-02 20:41:01";"2020-04-06 10:00:00";"Доставлен";"299.00";"Носки ""Барт Симс""";"169334632";"372";"299.00";"1"
"07397118-0026";"07397118-0026-3";"2020-04-02 17:47:19";"2020-04-06 10:00:00";"Доставлен";"319.00";"Носки ""Попугай""";"168797034";"121";"319.00";"1"
"33934536-0006";"33934536-0006-5";"2020-04-02 17:14:45";"2020-04-06 10:00:00";"Доставлен";"339.00";"Арт носки ""Спанч Боб""";"169832651";"M1243-det";"339.00";"1"
"05003799-0015";"05003799-0015-1";"2020-04-02 16:40:48";"2020-04-06 10:00:00";"Доставлен";"349.00";"Носки женские с надписью ""Не Беси""";"170321111";"406";"349.00";"1"
"43398953-0005";"43398953-0005-1";"2020-04-02 16:10:13";"2020-04-06 10:00:00";"Доставлен";"319.00";"Носки ""Баскетбол""";"168914646";"166";"319.00";"1"
"07153868-0095";"07153868-0095-3";"2020-04-02 15:32:51";"2020-04-06 10:00:00";"Доставлен";"299.00";"Носки ""Халк""";"168720403";"115";"299.00";"1"
"19835271-0253";"19835271-0253-3";"2020-04-02 11:32:50";"2020-04-06 10:00:00";"Отменен";"399.00";"Носки ""Микки""";"169099586";"241";"399.00";"1"
"03452693-0039";"03452693-0039-3";"2020-04-02 03:38:38";"2020-04-03 10:00:00";"Отменен";"299.00";"Носки ""Iron Men""";"169334747";"359";"299.00";"1"
"23997219-0011";"23997219-0011-3";"2020-04-01 12:18:25";"2020-04-04 10:00:00";"Доставлен";"349.00";"Носки женские с надписью ""Не Беси""";"170321111";"406";"349.00";"1"
"23997219-0011";"23997219-0011-3";"2020-04-01 12:18:25";"2020-04-04 10:00:00";"Доставлен";"339.00";"Женские дизайнерские носки с принтом Арт. ""Вино""";"170771375";"433";"339.00";"1"
"14721548-0019";"14721548-0019-2";"2020-04-01 08:31:56";"2020-04-02 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"11283236-0015";"11283236-0015-4";"2020-04-01 07:10:39";"2020-04-02 10:00:00";"Доставлен";"339.00";"Арт носки ""Кукуруза""";"169830686";"M1111-det";"339.00";"1"
"11283236-0015";"11283236-0015-4";"2020-04-01 07:10:39";"2020-04-02 10:00:00";"Доставлен";"339.00";"Арт носки ""Щенки""";"169830942";"M1065-det";"339.00";"1"
"11283236-0015";"11283236-0015-4";"2020-04-01 07:10:39";"2020-04-02 10:00:00";"Доставлен";"339.00";"Арт носки ""Морти недоволен""";"169832613";"M1172-det";"339.00";"1"
"11640826-0002";"11640826-0002-4";"2020-03-31 22:52:44";"2020-04-01 10:00:00";"Доставлен";"319.00";"Носки ""Попугай""";"168797034";"121";"319.00";"1"
"38380413-0006";"38380413-0006-2";"2020-03-31 12:13:26";"2020-04-02 10:00:00";"Доставлен";"299.00";"Носки ""Картина Мона Лиза""";"169562467";"405";"299.00";"1"
"14395764-0041";"14395764-0041-3";"2020-03-31 10:20:55";"2020-04-03 10:00:00";"Доставлен";"339.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"339.00";"1"
"14395764-0041";"14395764-0041-3";"2020-03-31 10:20:55";"2020-04-03 10:00:00";"Доставлен";"339.00";"Арт носки ""Смертельный заплыв""";"169830862";"M1310-det";"339.00";"1"
"14395764-0041";"14395764-0041-3";"2020-03-31 10:20:55";"2020-04-03 10:00:00";"Доставлен";"339.00";"Арт носки ""Штурмовик""";"169834489";"M1216-det";"339.00";"1"
"05354163-0101";"05354163-0101-3";"2020-03-31 08:12:06";"2020-04-02 10:00:00";"Доставлен";"299.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"299.00";"1"
"05354163-0101";"05354163-0101-3";"2020-03-31 08:12:06";"2020-04-02 10:00:00";"Доставлен";"299.00";"Арт носки ""Спанч Боб""";"169830907";"M1011-det";"299.00";"1"
"05354163-0101";"05354163-0101-3";"2020-03-31 08:12:06";"2020-04-02 10:00:00";"Доставлен";"299.00";"Арт носки ""Марвел Железный человек""";"170501055";"M1015-det";"299.00";"1"
"09806942-0122";"09806942-0122-1";"2020-03-31 08:09:43";"2020-04-02 10:00:00";"Доставлен";"359.00";"Носки ""Микки""";"169099586";"241";"359.00";"1"
"05354163-0100";"05354163-0100-2";"2020-03-30 20:20:28";"2020-04-02 10:00:00";"Отменен";"299.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"299.00";"1"
"05354163-0100";"05354163-0100-2";"2020-03-30 20:20:28";"2020-04-02 10:00:00";"Отменен";"299.00";"Арт носки ""Сладкий пончик""";"169830890";"M1133-det";"299.00";"1"
"05354163-0100";"05354163-0100-2";"2020-03-30 20:20:28";"2020-04-02 10:00:00";"Отменен";"299.00";"Арт носки ""Спанч Боб""";"169830907";"M1011-det";"299.00";"1"
"05354163-0100";"05354163-0100-2";"2020-03-30 20:20:28";"2020-04-02 10:00:00";"Отменен";"299.00";"Арт носки ""Мороженное безумие""";"169835653";"M1196-det";"299.00";"1"
"05354163-0100";"05354163-0100-2";"2020-03-30 20:20:28";"2020-04-02 10:00:00";"Отменен";"299.00";"Арт носки ""Марвел Железный человек""";"170501055";"M1015-det";"299.00";"1"
"44953577-0001";"44953577-0001-4";"2020-03-30 19:57:09";"2020-04-04 10:00:00";"Отменен";"339.00";"Женские дизайнерские носки с принтом Арт. ""Вино""";"170771375";"433";"339.00";"1"
"44955084-0001";"44955084-0001-2";"2020-03-30 18:06:02";"2020-04-02 10:00:00";"Доставлен";"339.00";"Арт носки ""Фанта""";"169830906";"M1014-det";"339.00";"1"
"44927542-0001";"44927542-0001-2";"2020-03-30 14:41:18";"2020-04-01 10:00:00";"Доставлен";"349.00";"Носки женские с надписью ""Не Беси""";"170321111";"406";"349.00";"1"
"29777492-0003";"29777492-0003-4";"2020-03-30 06:44:40";"2020-04-01 10:00:00";"Доставлен";"339.00";"Арт носки ""Кубик Рубик""";"169834485";"M1222-det";"339.00";"1"
"29777492-0003";"29777492-0003-4";"2020-03-30 06:44:40";"2020-04-01 10:00:00";"Доставлен";"339.00";"Арт носки ""Арбузное настроение""";"169917420";"M1137-det";"339.00";"1"
"42034752-0035";"42034752-0035-1";"2020-03-29 21:34:22";"2020-03-30 10:00:00";"Доставлен";"339.00";"Арт носки ""Авокадо""";"169830854";"M1319-det";"339.00";"1"
"14454041-0013";"14454041-0013-10";"2020-03-29 21:02:57";"2020-03-30 10:00:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"14454041-0013";"14454041-0013-10";"2020-03-29 21:02:57";"2020-03-30 10:00:00";"Доставлен";"349.00";"Носки женские с надписью ""Не Беси""";"170321111";"406";"349.00";"1"
"44922188-0003";"44922188-0003-3";"2020-03-29 18:54:28";"2020-04-01 10:00:00";"Доставлен";"339.00";"Арт носки ""Бард Симпсон""";"169831194";"M1285";"339.00";"1"
"29014157-0047";"29014157-0047-3";"2020-03-29 18:06:54";"2020-04-01 10:00:00";"Доставлен";"399.00";"Носки ""Микки""";"169099586";"241";"399.00";"1"
"24792450-0016";"24792450-0016-4";"2020-03-29 17:06:31";"2020-04-01 10:00:00";"Доставлен";"359.00";"Носки унисекс  с принтом ""Акула""";"170403803";"415";"359.00";"1"
"24792450-0016";"24792450-0016-4";"2020-03-29 17:06:31";"2020-04-01 10:00:00";"Доставлен";"339.00";"Женские дизайнерский носки с принтом Арт. ""Корги""";"170793209";"437";"339.00";"1"
"03968775-0004";"03968775-0004-5";"2020-03-29 16:02:51";"2020-04-02 10:00:00";"Доставлен";"399.00";"Носки ""Семейка Симпсонов""";"169099583";"244";"399.00";"1"
"31062770-0050";"31062770-0050-4";"2020-03-29 12:54:33";"2020-04-01 10:00:00";"Доставлен";"339.00";"Арт носки ""Корона""";"169831786";"M1106";"339.00";"1"
"36668863-0007";"36668863-0007-5";"2020-03-29 11:41:52";"2020-04-01 10:00:00";"Доставлен";"319.00";"Носки ""Пивные""";"168914470";"175";"319.00";"1"
"17209302-0014";"17209302-0014-3";"2020-03-28 21:22:31";"2020-03-30 10:00:00";"Доставлен";"339.00";"Арт носки ""Авокадо""";"169831152";"M1319";"339.00";"1"
"17313416-0214";"17313416-0214-3";"2020-03-28 20:29:00";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""Кошачьи эмоции""";"169832201";"M1195";"299.00";"1"
"06968542-0148";"06968542-0148-4";"2020-03-28 14:30:56";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""Капитан Америка""";"169832652";"M1242-det";"299.00";"1"
"06968542-0148";"06968542-0148-4";"2020-03-28 14:30:56";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""Штурмовик""";"169834489";"M1216-det";"299.00";"1"
"06968542-0148";"06968542-0148-4";"2020-03-28 14:30:56";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""R2-D2""";"169834491";"M1217-det";"299.00";"1"
"06968542-0148";"06968542-0148-4";"2020-03-28 14:30:56";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""Супер мэн""";"169834517";"M1246-det";"299.00";"1"
"06968542-0148";"06968542-0148-4";"2020-03-28 14:30:56";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""Настольный футбол""";"169834532";"M1263-det";"299.00";"1"
"06968542-0148";"06968542-0148-4";"2020-03-28 14:30:56";"2020-03-31 10:00:00";"Доставлен";"299.00";"Арт носки ""Штурмовик""";"169836102";"M1215-det";"299.00";"1"
"15459933-0046";"15459933-0046-3";"2020-03-28 13:52:00";"2020-03-31 10:00:00";"Доставлен";"399.00";"Носки ""Женские""";"169038406";"147";"399.00";"1"
"17609092-0006";"17609092-0006-2";"2020-03-28 12:16:06";"2020-03-30 10:00:00";"Доставлен";"339.00";"Арт носки ""Гомер Симпсон""";"169831189";"M1289";"339.00";"1"
"17609092-0006";"17609092-0006-2";"2020-03-28 12:16:06";"2020-03-30 10:00:00";"Доставлен";"339.00";"Арт носки ""Бард Симпсон""";"169834563";"M1285-det";"339.00";"1"
"29697480-0045";"29697480-0045-2";"2020-03-28 11:28:10";"2020-03-30 10:00:00";"Доставлен";"289.00";"Носки ""Человек Паук""";"169256370";"324";"289.00";"1"
"39864698-0002";"39864698-0002-2";"2020-03-27 20:28:58";"2020-03-29 10:00:00";"Доставлен";"678.00";"Арт носки ""Горячая пицца""";"169834547";"M1275-det";"339.00";"2"
"23535061-0029";"23535061-0029-2";"2020-03-27 20:26:53";"2020-03-29 10:00:00";"Отменен";"339.00";"Арт носки ""Ван Гог""";"169831209";"M1249";"339.00";"1"
"23535061-0028";"23535061-0028-2";"2020-03-27 20:24:06";"2020-03-29 10:00:00";"Отменен";"339.00";"Арт носки ""Ван Гог""";"169831209";"M1249";"339.00";"1"
"11248719-0003";"11248719-0003-1";"2020-03-27 20:16:07";"2020-03-29 10:00:00";"Доставлен";"339.00";"Арт носки ""Вечеринка ананасов""";"169830809";"M1089-det";"339.00";"1"
"06534416-0019";"06534416-0019-3";"2020-03-27 19:34:08";"2020-03-29 10:00:00";"Доставлен";"339.00";"Арт носки ""Лабрадор""";"169831545";"M1093";"339.00";"1"
"35923612-0010";"35923612-0010-1";"2020-03-27 16:08:52";"2020-03-30 10:00:00";"Доставлен";"339.00";"Носки ""Текила-Лимон""";"168720411";"100";"339.00";"1"
"44855653-0001";"44855653-0001-3";"2020-03-27 09:32:36";"2020-03-29 13:01:00";"Доставлен";"319.00";"Носки с надписью";"169197597";"282";"319.00";"1"
"31552591-0060";"31552591-0060-1";"2020-03-27 08:45:11";"2020-03-29 10:00:00";"Доставлен";"339.00";"Женские дизайнерские носки с принтом Арт. ""Хочу вино""";"170771378";"434";"339.00";"1"
"30854321-0013";"30854321-0013-9";"2020-03-27 08:29:34";"2020-03-30 10:00:00";"Доставлен";"299.00";"Носки ""Маленькая панда""";"169256377";"321";"299.00";"1"
"06321559-0042";"06321559-0042-2";"2020-03-27 08:28:09";"2020-03-29 10:00:00";"Доставлен";"319.00";"Носки ""Спанч Боб""";"168797009";"133";"319.00";"1"
"06321559-0042";"06321559-0042-2";"2020-03-27 08:28:09";"2020-03-29 10:00:00";"Доставлен";"319.00";"Носки ""Ой все""";"169197598";"269";"319.00";"1"
