"Номер заказа";"Номер отправления";"Дата создания заказа";"Дата отгрузки";"Статус";"Сумма отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Количество"
"11266182-0108";"11266182-0108-3";"2020-06-08 14:46:22";"2020-06-11 10:00:00";"Доставлен";"370.00";"Носки унисекс ""Губка Боб""";"170403798";"416";"370.00";"1"
"02758851-0032";"02758851-0032-2";"2020-06-08 14:23:08";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки женские дизайнерские с принтом Арт. ""Миньоны""";"171473960";"441";"370.00";"1"
"34656240-0029";"34656240-0029-7";"2020-06-08 12:08:51";"2020-06-09 10:00:00";"Доставлен";"370.00";"Арт носки ""Хищные будни""";"169831102";"M1008-det";"370.00";"1"
"10478610-0052";"10478610-0052-3";"2020-06-07 20:11:05";"2020-06-09 10:00:00";"Доставлен";"370.00";"Носки ""Копмлект подарочный""";"169197600";"266";"370.00";"1"
"23995823-0186";"23995823-0186-3";"2020-06-07 19:41:28";"2020-06-09 10:00:00";"Доставлен";"350.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"350.00";"1"
"23995823-0186";"23995823-0186-3";"2020-06-07 19:41:28";"2020-06-09 10:00:00";"Доставлен";"350.00";"Арт носки ""Сквидвард""";"169831023";"M1034-det";"350.00";"1"
"23995823-0186";"23995823-0186-3";"2020-06-07 19:41:28";"2020-06-09 10:00:00";"Доставлен";"350.00";"Арт носки ""Штурмовик""";"169836102";"M1215-det";"350.00";"1"
"06757659-0077";"06757659-0077-1";"2020-06-07 17:08:32";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""Зебра""";"169830920";"M1025-det";"350.00";"1"
"06757659-0077";"06757659-0077-1";"2020-06-07 17:08:32";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""Пустыня""";"169830938";"M1069-det";"350.00";"1"
"06757659-0077";"06757659-0077-1";"2020-06-07 17:08:32";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""Барт Симпсон""";"169830939";"M1068-det";"350.00";"1"
"06757659-0077";"06757659-0077-1";"2020-06-07 17:08:32";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""Цветная банда""";"169830952";"M1063-det";"350.00";"1"
"06757659-0077";"06757659-0077-1";"2020-06-07 17:08:32";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""Кактусы""";"169832602";"M1151-det";"350.00";"1"
"06757659-0077";"06757659-0077-1";"2020-06-07 17:08:32";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""День  мертвых""";"169834498";"M1228-det";"350.00";"1"
"46898529-0002";"46898529-0002-2";"2020-06-07 17:00:47";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки ""Яблочко""";"168915424";"158";"370.00";"1"
"46898529-0002";"46898529-0002-2";"2020-06-07 17:00:47";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки""Клубничные""";"169231294";"284";"370.00";"1"
"13912128-0015";"13912128-0015-4";"2020-06-07 15:19:22";"2020-06-08 10:00:00";"Доставляется";"439.00";"Носки ""Котаны""";"169410434";"396";"439.00";"1"
"47089591-0002";"47089591-0002-1";"2020-06-07 09:18:01";"2020-06-08 10:00:00";"Доставляется";"370.00";"Женские дизайнерские носки с принтом Арт. ""Хочу вино""";"170771378";"434";"370.00";"1"
"42239169-0020";"42239169-0020-3";"2020-06-07 08:35:59";"2020-06-08 10:00:00";"Доставлен";"370.00";"Носки ""Картина Мона Лиза""";"169562467";"405";"370.00";"1"
"16920958-0020";"16920958-0020-3";"2020-06-07 08:24:22";"2020-06-08 10:00:00";"Доставлен";"370.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"370.00";"1"
"30407297-0191";"30407297-0191-1";"2020-06-07 07:36:04";"2020-06-09 10:00:00";"Доставляется";"350.00";"Носки ""Ушки""";"169293139";"297";"350.00";"1"
"30407297-0190";"30407297-0190-2";"2020-06-07 06:02:13";"2020-06-09 10:00:00";"Отменен";"350.00";"Носки ""Ушки""";"169293139";"297";"350.00";"1"
"47266891-0002";"47266891-0002-2";"2020-06-07 04:40:56";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки ""Смайлик""";"169271550";"315";"370.00";"1"
"47156227-0003";"47156227-0003-3";"2020-06-06 21:28:25";"2020-06-08 10:00:00";"Доставлен";"370.00";"Арт носки ""Рик Энштейн""";"169832375";"M1211";"370.00";"1"
"47156227-0002";"47156227-0002-9";"2020-06-06 21:18:34";"2020-06-08 10:00:00";"Доставлен";"370.00";"Арт носки ""Рик Энштейн""";"169832375";"M1211";"370.00";"1"
"30734809-0008";"30734809-0008-2";"2020-06-06 20:23:13";"2020-06-08 10:00:00";"Доставлен";"370.00";"Носки ""Сквидвард""";"169038231";"212";"370.00";"1"
"04747690-0056";"04747690-0056-6";"2020-06-06 17:39:33";"2020-06-08 10:00:00";"Доставлен";"370.00";"Носки ""Пончик Аппетитный""";"169038296";"204";"370.00";"1"
"17779373-0028";"17779373-0028-2";"2020-06-06 16:57:57";"2020-06-08 10:00:00";"Доставляется";"370.00";"Арт носки ""Мистер попкорн""";"169830872";"M1296-det";"370.00";"1"
"47297693-0001";"47297693-0001-6";"2020-06-06 15:48:21";"2020-06-07 10:00:00";"Доставлен";"379.00";"Носки мужские 3D ""Трэйси Макгрэди""";"170707484";"426";"379.00";"1"
"08939534-0079";"08939534-0079-3";"2020-06-06 10:04:34";"2020-06-07 10:00:00";"Доставлен";"370.00";"Носки ""Хитрый кролик""";"169038250";"231";"370.00";"1"
"31586617-0012";"31586617-0012-4";"2020-06-05 17:44:13";"2020-06-07 10:00:00";"Доставлен";"370.00";"Арт носки ""Королева Великобритании""";"169831044";"M1265";"370.00";"1"
"45425176-0008";"45425176-0008-2";"2020-06-05 14:55:29";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки ""Скульптура""";"169293137";"301";"370.00";"1"
"38526594-0003";"38526594-0003-2";"2020-06-05 14:51:05";"2020-06-06 10:00:00";"Доставлен";"370.00";"Носки ""Iron Men""";"169334747";"359";"370.00";"1"
"41525496-0023";"41525496-0023-2";"2020-06-05 11:30:13";"2020-06-06 10:00:00";"Отменен";"370.00";"Арт носки ""Попугай""";"169836689";"M1027";"370.00";"1"
"45047104-0001";"45047104-0001-2";"2020-06-05 09:07:16";"2020-06-06 10:00:00";"Доставлен";"370.00";"Носки ""Лягушка""";"168796976";"143";"370.00";"1"
"44567058-0003";"44567058-0003-5";"2020-06-04 22:46:24";"2020-06-06 10:00:00";"Доставлен";"370.00";"Арт носки ""Рик Энштейн""";"169834477";"M1211-det";"370.00";"1"
"44567058-0003";"44567058-0003-5";"2020-06-04 22:46:24";"2020-06-06 10:00:00";"Доставлен";"370.00";"Носки мужские дизайнерские с принтом ""Бетмен""";"172065900";"444";"370.00";"1"
"16141951-0070";"16141951-0070-3";"2020-06-04 21:42:30";"2020-06-06 10:00:00";"Доставлен";"370.00";"Носки ""Папа Супермен""";"168915438";"140";"370.00";"1"
"03751353-0090";"03751353-0090-1";"2020-06-04 20:35:03";"2020-06-07 10:00:00";"Доставлен";"379.00";"Носки ""Милые котики""";"169231271";"293";"379.00";"1"
"14565205-0016";"14565205-0016-3";"2020-06-04 19:34:28";"2020-06-07 10:00:00";"Доставлен";"370.00";"Носки женские дизайнерские с рисунком ""Арбузики""";"170707509";"424";"370.00";"1"
"02689320-0276";"02689320-0276-3";"2020-06-04 18:54:52";"2020-06-06 10:00:00";"Доставлен";"350.00";"Арт носки ""Зебра""";"169830920";"M1025-det";"350.00";"1"
"02689320-0276";"02689320-0276-3";"2020-06-04 18:54:52";"2020-06-06 10:00:00";"Доставлен";"350.00";"Арт носки ""Футбол""";"169830944";"M1066-det";"350.00";"1"
"02689320-0276";"02689320-0276-3";"2020-06-04 18:54:52";"2020-06-06 10:00:00";"Доставлен";"350.00";"Арт носки ""Черный плащ""";"169830986";"M1048-det";"350.00";"1"
"02689320-0276";"02689320-0276-3";"2020-06-04 18:54:52";"2020-06-06 10:00:00";"Доставлен";"350.00";"Арт носки ""Сквидвард""";"169831023";"M1034-det";"350.00";"1"
"02689320-0276";"02689320-0276-3";"2020-06-04 18:54:52";"2020-06-06 10:00:00";"Доставлен";"350.00";"Арт носки ""Арбузное наслаждение""";"169938530";"M1046-det";"350.00";"1"
"43270507-0002";"43270507-0002-3";"2020-06-04 18:14:18";"2020-06-06 10:00:00";"Доставлен";"370.00";"Носки ""Банановые бананы""";"169309243";"345";"370.00";"1"
"07660125-0008";"07660125-0008-2";"2020-06-04 13:17:50";"2020-06-05 10:00:00";"Доставляется";"370.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"370.00";"1"
"30563562-0004";"30563562-0004-3";"2020-06-04 10:01:32";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Черный плащ""";"169830986";"M1048-det";"370.00";"1"
"02412615-0161";"02412615-0161-3";"2020-06-04 10:00:14";"2020-06-05 10:00:00";"Доставлен";"350.00";"Носки ""Дарт Вейдер""";"169197601";"265";"350.00";"1"
"02739379-0022";"02739379-0022-4";"2020-06-04 09:53:10";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки ""Египет""";"169271614";"312";"370.00";"1"
"08530043-0195";"08530043-0195-3";"2020-06-04 09:31:50";"2020-06-05 10:00:00";"Доставлен";"350.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"350.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки ""Boom""";"169038398";"195";"370.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки  ""Призрак""";"169293092";"349";"370.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"439.00";"Носки ""Котаны""";"169410434";"396";"439.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Сквидвард""";"169830882";"M1146-det";"370.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Цветная банда""";"169830952";"M1063-det";"370.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Яблочный взрыв""";"169921098";"M1058-det";"370.00";"1"
"20092292-0030";"20092292-0030-3";"2020-06-04 08:42:36";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки унисекс ""Губка Боб""";"170403798";"416";"370.00";"1"
"23717816-0020";"23717816-0020-3";"2020-06-04 08:15:45";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки женские дизайнерские с принтом Арт. ""Миньоны""";"171473960";"441";"370.00";"1"
"25324977-0025";"25324977-0025-2";"2020-06-04 08:00:22";"2020-06-05 10:00:00";"Доставлен";"399.00";"Носки ""Покемон""";"169231274";"292";"399.00";"1"
"41158856-0024";"41158856-0024-2";"2020-06-04 07:17:25";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Поцелуй""";"169831035";"M1260";"370.00";"1"
"41648721-0010";"41648721-0010-3";"2020-06-04 06:49:21";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки женские дизайнерские с рисунком ""Арбузики""";"170707509";"424";"370.00";"1"
"03357373-0135";"03357373-0135-3";"2020-06-04 05:18:16";"2020-06-05 10:00:00";"Доставлен";"499.00";"Носки ""Веселые пончики""";"169048376";"191";"499.00";"1"
"42332762-0014";"42332762-0014-2";"2020-06-04 02:51:52";"2020-06-05 10:00:00";"Доставлен";"559.00";"Комплект носков женский ""С единорогами""";"170321106";"408";"559.00";"1"
"45857498-0004";"45857498-0004-1";"2020-06-03 23:53:03";"2020-06-07 10:00:00";"Доставлен";"499.00";"Носки ""Комплект Черепа""";"169293124";"306";"499.00";"1"
"29610780-0007";"29610780-0007-4";"2020-06-03 22:28:39";"2020-06-05 10:00:00";"Доставлен";"370.00";"Носки ""Мячики""";"168796928";"157";"370.00";"1"
"19410572-0008";"19410572-0008-3";"2020-06-03 20:34:35";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Сладкий пончик""";"169831871";"M1133";"370.00";"1"
